"GeneID","Module"
"7917182","blue"
"7921916","grey"
"7940626","turquoise"
"8100758","turquoise"
"8149071","blue"
"8017599","blue"
"7964834","turquoise"
"7951217","turquoise"
"7940630","turquoise"
"8126798","blue"
"8148040","turquoise"
"8096415","blue"
"7934906","blue"
"8026490","turquoise"
"8101957","blue"
"8091402","blue"
"8091972","turquoise"
"8098439","turquoise"
"7939314","turquoise"
"7937961","turquoise"
"7903592","turquoise"
"7908597","blue"
"7922229","blue"
"7960464","blue"
"8066493","turquoise"
"7952046","turquoise"
"7970763","blue"
"8041853","turquoise"
"8178193","blue"
"8070297","blue"
"8122860","blue"
"7961710","turquoise"
"8095080","blue"
"7908072","turquoise"
"8179481","blue"
"7996837","turquoise"
"8060897","blue"
"7910950","turquoise"
"8118548","blue"
"8147891","turquoise"
"8141140","turquoise"
"7964872","blue"
"8100393","blue"
"8105908","turquoise"
"8137244","blue"
"7945132","blue"
"8124196","turquoise"
"8046099","blue"
"8138381","turquoise"
"8091385","turquoise"
"7972239","blue"
"8129880","turquoise"
"7974835","blue"
"8145293","turquoise"
"8109926","turquoise"
"8173924","turquoise"
"8065359","blue"
"8056363","grey"
"8140782","blue"
"8141016","turquoise"
"8115099","turquoise"
"8147351","turquoise"
"8007701","grey"
"8155930","turquoise"
"7976810","blue"
"7901765","turquoise"
"8144917","grey"
"8112045","blue"
"8020779","turquoise"
"7957861","blue"
"8100231","turquoise"
"8105899","turquoise"
"8177498","turquoise"
"7996264","blue"
"7901175","turquoise"
"8096511","turquoise"
"8138466","turquoise"
"8104663","grey"
"8009502","blue"
"7940643","turquoise"
"8089851","turquoise"
"8138504","blue"
"8093278","turquoise"
"8094441","turquoise"
"8097973","grey"
"7940323","turquoise"
"8155802","turquoise"
"8089714","blue"
"8095395","turquoise"
"8123920","grey"
"7924058","turquoise"
"7965357","turquoise"
"7926638","turquoise"
"8063000","turquoise"
"7923875","turquoise"
"8134351","turquoise"
"8167592","blue"
"8146458","turquoise"
"8112342","turquoise"
"7933194","blue"
